"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2012/04/02","15,325,725","507,938,457","32.90","33.85","32.40","33.70","+0.50","5,822",
"2012/04/03","16,430,628","551,726,023","33.80","33.90","33.20","33.45","-0.25","5,003",
"2012/04/05","7,857,961","257,474,300","32.50","33.10","32.45","32.65","-0.80","2,727",
"2012/04/06","8,318,291","270,380,917","32.65","32.85","32.30","32.45","-0.20","3,257",
"2012/04/09","4,457,163","144,266,485","32.00","32.75","31.80","32.50","+0.05","1,731",
"2012/04/10","5,168,719","170,492,327","32.60","33.20","32.60","33.00","+0.50","1,962",
"2012/04/11","10,098,000","336,754,716","32.95","33.50","32.70","33.45","+0.45","3,216",
"2012/04/12","13,747,821","459,775,696","33.75","33.75","33.00","33.40","-0.05","2,798",
"2012/04/13","8,056,771","271,619,161","33.90","33.90","33.50","33.80","+0.40","2,478",
"2012/04/16","4,105,667","136,167,955","33.30","33.75","32.75","33.40","-0.40","1,737",
"2012/04/17","8,105,944","259,379,078","33.15","33.30","31.20","31.20","-2.20","3,297",
"2012/04/18","8,953,153","288,856,807","32.00","32.50","31.85","32.40","+1.20","3,128",
"2012/04/19","5,159,750","168,103,820","32.60","32.95","32.15","32.80","+0.40","1,571",
"2012/04/20","9,712,325","320,948,925","32.90","33.25","32.50","33.05","+0.25","3,254",
"2012/04/23","9,867,044","330,351,647","32.80","33.80","32.80","33.80","+0.75","3,411",
"2012/04/24","9,298,722","314,863,635","33.80","34.25","33.30","33.95","+0.15","2,662",
"2012/04/25","5,639,714","190,915,568","33.45","34.10","33.45","33.75","-0.20","1,776",
"2012/04/26","8,980,117","298,714,245","34.00","34.10","32.55","32.60","-1.15","2,909",
"2012/04/27","6,610,368","216,400,151","33.05","33.10","32.30","33.10","+0.50","2,462",
"2012/04/30","9,085,679","304,526,595","33.20","33.90","33.10","33.60","+0.50","3,177",
