"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2012/05/02","22,224,319","775,539,327","33.65","35.60","33.65","35.60","+2.00","7,162",
"2012/05/03","9,153,620","323,744,923","35.60","35.65","34.90","35.45","-0.15","3,476",
"2012/05/04","9,865,455","348,245,257","34.50","35.70","34.50","35.05","-0.40","3,381",
"2012/05/07","11,959,259","410,451,302","34.75","34.95","33.90","34.60","-0.45","4,023",
"2012/05/08","7,502,225","256,065,316","34.70","34.70","33.85","34.20","-0.40","2,557",
"2012/05/09","11,282,658","379,403,906","33.75","34.05","33.25","33.25","-0.95","3,760",
"2012/05/10","7,926,788","265,686,168","33.00","33.80","33.00","33.75","+0.50","2,940",
"2012/05/11","11,327,606","371,237,643","33.25","33.50","32.40","32.85","-0.90","4,154",
"2012/05/14","4,985,344","164,693,850","32.80","33.25","32.80","33.20","+0.35","1,601",
"2012/05/15","5,253,405","172,936,263","32.50","33.20","32.50","32.95","-0.25","1,916",
"2012/05/16","11,206,926","359,249,059","32.95","33.15","31.10","31.20","-1.75","3,354",
"2012/05/17","8,372,136","272,642,288","32.40","33.00","32.00","33.00","+1.80","4,658",
"2012/05/18","9,327,799","296,155,853","32.00","32.00","31.50","31.60","-1.40","3,623",
"2012/05/21","4,921,397","157,102,018","31.50","32.15","31.50","32.00","+0.40","1,893",
"2012/05/22","8,227,651","264,059,227","32.20","32.50","32.00","32.00"," 0.00","2,715",
"2012/05/23","11,318,779","348,815,507","31.50","31.60","30.20","31.20","-0.80","4,073",
"2012/05/24","5,773,797","180,349,161","31.00","31.40","31.00","31.40","+0.20","2,174",
"2012/05/25","4,030,076","126,885,972","31.50","31.75","31.35","31.40"," 0.00","1,872",
"2012/05/28","7,227,346","223,482,578","31.10","31.40","30.40","30.95","-0.45","2,382",
"2012/05/29","5,222,411","165,641,508","31.40","32.10","31.15","31.80","+0.85","1,938",
"2012/05/30","17,851,407","558,784,628","32.05","32.05","30.80","31.50","-0.30","4,640",
"2012/05/31","12,793,229","394,393,199","31.00","31.25","30.60","30.80","-0.70","3,598",
