"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2017/10/02","5,094,647","109,204,882","21.50","21.50","21.35","21.45","+0.10","1,449",
"2017/10/03","4,528,559","97,668,753","21.70","21.75","21.45","21.55","+0.10","1,524",
"2017/10/05","4,302,736","93,492,147","21.90","21.90","21.60","21.75","+0.20","1,833",
"2017/10/06","6,465,279","140,313,307","21.80","21.80","21.60","21.75"," 0.00","1,979",
"2017/10/11","28,023,955","608,919,157","21.75","21.95","21.50","21.75"," 0.00","5,052",
"2017/10/12","16,844,039","362,794,512","21.80","21.80","21.20","21.50","-0.25","3,888",
"2017/10/13","11,242,597","241,714,883","21.35","21.70","21.35","21.50"," 0.00","3,444",
"2017/10/16","14,903,011","321,547,454","21.60","21.80","21.40","21.70","+0.20","4,043",
"2017/10/17","12,062,580","262,613,566","21.75","21.95","21.60","21.80","+0.10","3,733",
"2017/10/18","11,365,036","247,369,916","21.95","21.95","21.65","21.75","-0.05","3,237",
"2017/10/19","10,074,374","219,342,678","21.90","21.90","21.65","21.80","+0.05","1,795",
"2017/10/20","10,165,340","221,401,321","21.80","21.90","21.65","21.80"," 0.00","2,459",
"2017/10/23","7,048,169","152,320,018","21.75","21.80","21.50","21.50","-0.30","2,329",
"2017/10/24","10,894,820","235,181,378","21.70","21.70","21.45","21.65","+0.15","2,554",
"2017/10/25","12,418,802","268,159,826","21.60","21.75","21.40","21.75","+0.10","2,208",
"2017/10/26","11,556,132","247,282,852","21.55","21.60","21.30","21.30","-0.45","2,638",
"2017/10/27","15,540,638","334,431,871","21.30","21.75","21.30","21.50","+0.20","2,795",
"2017/10/30","17,768,724","385,189,270","21.75","21.80","21.45","21.80","+0.30","2,918",
"2017/10/31","32,121,607","712,439,477","21.80","22.35","21.70","22.20","+0.40","6,062",
