"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2014/08/01","5,754,646","105,803,541","18.85","18.85","18.00","18.30","-0.85","2,032",
"2014/08/04","2,621,516","44,708,379","17.05","17.30","17.05","17.05","-1.25","969",
"2014/08/05","13,873,126","223,489,531","15.90","16.55","15.90","16.10","-0.95","4,602",
"2014/08/06","11,064,935","169,361,125","16.05","16.20","15.00","15.00","-1.10","3,199",
"2014/08/07","9,926,903","152,588,402","15.00","15.70","14.90","15.60","+0.60","2,857",
"2014/08/08","5,961,501","94,662,616","15.80","16.10","15.60","16.00","+0.40","1,945",
"2014/08/11","2,973,790","47,875,090","16.20","16.20","16.05","16.05","+0.05","858",
"2014/08/12","1,660,898","26,310,765","16.05","16.05","15.80","15.85","-0.20","624",
"2014/08/13","1,437,639","22,985,015","15.85","16.05","15.85","16.00","+0.15","583",
"2014/08/14","1,140,033","18,221,360","16.15","16.15","15.90","15.95","-0.05","440",
"2014/08/15","1,653,680","26,104,448","15.95","16.00","15.70","15.75","-0.20","516",
"2014/08/18","1,609,088","25,028,390","15.75","15.75","15.45","15.45","-0.30","553",
"2014/08/19","773,907","12,052,536","15.50","15.65","15.50","15.60","+0.15","316",
"2014/08/20","847,824","13,270,943","15.70","15.70","15.60","15.60"," 0.00","396",
"2014/08/21","667,809","10,426,510","15.60","15.70","15.55","15.65","+0.05","328",
"2014/08/22","1,537,875","24,280,261","15.65","15.90","15.65","15.90","+0.25","903",
"2014/08/25","1,340,218","21,484,350","15.90","16.15","15.90","16.15","+0.25","586",
"2014/08/26","910,207","14,654,550","16.15","16.15","16.05","16.05","-0.10","331",
"2014/08/27","1,268,789","20,489,890","16.00","16.20","16.00","16.15","+0.10","637",
"2014/08/28","1,068,636","17,253,728","16.15","16.20","16.10","16.20","+0.05","575",
"2014/08/29","933,347","15,079,773","16.20","16.20","16.10","16.15","-0.05","433",
