"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2011/12/01","19,082,288","509,654,088","26.35","26.95","26.20","26.95","+1.75","5,141",
"2011/12/02","9,987,016","268,362,466","26.95","27.45","26.35","26.55","-0.40","3,994",
"2011/12/05","8,608,735","222,638,717","26.50","26.50","25.20","26.05","-0.50","2,936",
"2011/12/06","3,606,652","93,407,559","25.80","26.15","25.60","25.90","-0.15","1,583",
"2011/12/07","5,672,593","145,084,079","25.90","26.25","25.20","25.35","-0.55","2,580",
"2011/12/08","10,272,282","260,593,585","26.00","26.00","25.05","25.20","-0.15","3,324",
"2011/12/09","5,507,562","136,959,600","24.70","25.30","24.40","24.85","-0.35","2,444",
"2011/12/12","3,393,255","86,111,097","25.25","25.55","25.15","25.35","+0.50","1,439",
"2011/12/13","5,969,543","149,115,167","25.30","25.40","24.70","24.75","-0.60","1,988",
"2011/12/14","2,765,719","69,013,407","24.65","25.20","24.50","25.20","+0.45","1,370",
"2011/12/15","5,361,640","130,739,232","24.70","24.80","24.20","24.25","-0.95","2,262",
"2011/12/16","4,071,966","97,472,915","24.30","24.45","23.70","23.75","-0.50","1,762",
"2011/12/19","7,198,590","162,453,102","23.60","23.70","22.10","22.10","-1.65","2,537",
"2011/12/20","3,171,070","70,491,846","22.10","22.45","22.10","22.15","+0.05","1,367",
"2011/12/21","6,075,186","143,340,848","23.50","23.70","23.15","23.70","+1.55","2,097",
"2011/12/22","4,823,695","115,894,945","23.95","24.30","23.60","24.25","+0.55","1,848",
"2011/12/23","9,302,278","233,412,740","24.50","25.40","24.50","25.20","+0.95","3,205",
"2011/12/26","3,462,116","86,093,750","25.25","25.30","24.65","24.90","-0.30","1,304",
"2011/12/27","2,934,186","71,935,190","24.60","24.80","24.30","24.50","-0.40","1,181",
"2011/12/28","2,573,371","62,194,054","24.65","24.65","24.00","24.00","-0.50","1,217",
"2011/12/29","5,100,595","121,093,230","23.50","24.10","23.40","24.00"," 0.00","1,694",
"2011/12/30","4,099,300","99,936,537","24.20","24.60","24.20","24.35","+0.35","1,598",
