"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2019/01/02","364,404","4,315,809","11.90","12.00","11.75","11.80","-0.10","206",
"2019/01/03","825,213","9,668,249","11.80","11.80","11.65","11.65","-0.15","360",
"2019/01/04","620,325","7,212,577","11.60","11.75","11.50","11.65"," 0.00","258",
"2019/01/07","622,190","7,339,523","11.75","11.90","11.70","11.75","+0.10","275",
"2019/01/08","615,962","7,256,940","11.90","11.90","11.75","11.75"," 0.00","339",
"2019/01/09","771,039","9,148,699","11.80","11.95","11.75","11.85","+0.10","347",
"2019/01/10","706,223","8,344,573","11.90","11.90","11.75","11.85"," 0.00","330",
"2019/01/11","424,055","4,998,438","11.80","11.85","11.75","11.80","-0.05","290",
"2019/01/14","461,111","5,441,947","11.85","11.90","11.75","11.80"," 0.00","261",
"2019/01/15","595,761","7,012,419","11.80","11.85","11.75","11.75","-0.05","299",
"2019/01/16","576,979","6,796,734","11.85","11.85","11.75","11.80","+0.05","300",
"2019/01/17","611,323","7,232,871","11.85","11.90","11.75","11.85","+0.05","304",
"2019/01/18","491,273","5,851,426","11.85","11.95","11.85","11.95","+0.10","277",
"2019/01/21","716,646","8,585,658","12.00","12.10","11.90","11.95"," 0.00","298",
"2019/01/22","311,978","3,703,978","11.90","11.95","11.80","11.90","-0.05","198",
"2019/01/23","478,909","5,652,263","11.85","11.85","11.75","11.85","-0.05","267",
"2019/01/24","995,177","11,719,453","11.85","11.90","11.70","11.70","-0.15","485",
"2019/01/25","468,751","5,529,592","11.70","11.90","11.70","11.85","+0.15","276",
"2019/01/28","507,494","6,009,546","11.85","11.90","11.80","11.85"," 0.00","347",
"2019/01/29","390,299","4,620,824","11.75","11.90","11.75","11.90","+0.05","259",
"2019/01/30","570,550","6,779,978","11.90","11.95","11.80","11.90"," 0.00","233",
