"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2011/04/01","3,434,680","137,894,402","40.00","40.35","39.70","40.15","+0.15","1,299",
"2011/04/06","8,604,668","348,479,629","40.50","41.15","40.00","40.90","+0.75","3,035",
"2011/04/07","5,224,620","211,966,244","41.10","41.25","40.35","40.70","-0.20","2,313",
"2011/04/08","15,710,662","648,859,742","40.70","41.90","40.60","41.20","+0.50","5,348",
"2011/04/11","10,700,421","446,892,904","41.50","42.20","41.25","41.75","+0.55","4,269",
"2011/04/12","13,719,715","551,868,255","41.30","41.50","39.30","39.75","-2.00","5,579",
"2011/04/13","10,705,453","419,638,988","39.70","39.80","38.80","39.35","-0.40","3,989",
"2011/04/14","5,538,906","220,082,475","39.50","40.00","39.40","39.50","+0.15","2,422",
"2011/04/15","8,929,078","347,045,644","39.50","39.70","38.40","38.55","-0.95","3,840",
"2011/04/18","13,506,922","507,965,291","38.40","38.55","36.95","37.00","-1.55","5,365",
"2011/04/19","17,152,105","620,365,549","36.50","36.60","35.80","36.50","-0.50","5,230",
"2011/04/20","9,430,114","349,267,712","36.70","37.30","36.70","37.15","+0.65","3,528",
"2011/04/21","17,423,070","680,097,853","37.80","39.75","37.80","39.75","+2.60","6,528",
"2011/04/22","9,658,522","380,908,058","39.95","40.00","39.05","39.25","-0.50","3,372",
"2011/04/25","6,390,637","248,151,720","39.00","39.50","38.40","38.45","-0.80","2,431",
"2011/04/26","7,864,703","302,682,731","38.30","39.10","38.10","38.20","-0.25","2,683",
"2011/04/27","6,575,254","253,892,019","38.50","39.05","38.10","38.35","+0.15","2,611",
"2011/04/28","6,907,451","264,421,570","38.80","38.80","37.90","38.10","-0.25","2,206",
"2011/04/29","10,675,022","402,366,935","38.40","38.40","37.25","38.20","+0.10","3,343",
