"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2016/08/01","261,507","27,278,735","105.00","105.50","104.00","104.00","-1.00","244",
"2016/08/02","364,978","37,849,712","103.50","104.50","103.00","103.50","-0.50","313",
"2016/08/03","511,150","52,827,100","103.00","104.00","102.50","103.00","-0.50","366",
"2016/08/04","293,715","30,565,710","103.50","104.50","103.50","104.50","+1.50","267",
"2016/08/05","245,911","25,537,744","104.00","104.50","103.50","103.50","-1.00","220",
"2016/08/08","471,460","48,488,596","103.00","103.50","102.50","102.50","-1.00","430",
"2016/08/09","779,495","79,274,224","102.00","102.50","101.00","101.50","-1.00","622",
"2016/08/10","906,133","90,848,987","101.00","101.00","100.00","100.00","-1.50","765",
"2016/08/11","709,673","70,817,373","100.00","100.00","99.20","99.90","-0.10","532",
"2016/08/12","635,870","64,555,166","100.00","103.00","100.00","102.50","+2.60","495",
"2016/08/15","411,724","41,707,348","102.50","103.00","100.50","101.50","-1.00","316",
"2016/08/16","133,942","13,612,548","101.50","102.00","101.00","102.00","+0.50","141",
"2016/08/17","194,147","19,670,288","101.00","102.00","101.00","101.50","-0.50","184",
"2016/08/18","125,300","12,748,400","102.00","102.50","101.00","102.00","+0.50","120",
"2016/08/19","243,387","24,708,157","102.50","102.50","101.00","101.00","-1.00","233",
"2016/08/22","280,095","28,170,717","101.00","101.50","100.00","101.00"," 0.00","306",
"2016/08/23","148,040","14,912,551","100.50","101.00","100.00","100.50","-0.50","160",
"2016/08/24","177,334","17,948,068","100.50","101.50","100.50","101.00","+0.50","180",
"2016/08/25","259,222","26,103,518","101.00","101.50","100.00","100.50","-0.50","247",
"2016/08/26","222,337","22,330,690","100.00","101.00","100.00","100.50"," 0.00","226",
"2016/08/29","156,313","15,733,236","100.50","101.00","100.00","101.00","+0.50","202",
"2016/08/30","284,746","28,830,592","101.00","102.00","100.50","102.00","+1.00","310",
"2016/08/31","374,171","38,154,006","101.50","102.50","100.50","102.00"," 0.00","383",
