"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2018/11/01","163,454","20,471,704","126.00","126.00","124.00","125.00","-0.50","162",
"2018/11/02","140,983","17,750,858","125.50","126.50","125.00","126.00","+1.00","165",
"2018/11/05","140,150","17,547,400","126.00","126.00","124.50","126.00"," 0.00","152",
"2018/11/06","208,563","26,620,690","126.50","128.50","126.50","128.50","+2.50","197",
"2018/11/07","102,108","13,131,540","129.00","130.00","128.00","128.50"," 0.00","119",
"2018/11/08","154,192","19,976,460","129.00","130.50","128.50","129.50","+1.00","176",
"2018/11/09","84,893","10,949,747","130.50","130.50","128.00","128.50","-1.00","94",
"2018/11/12","74,289","9,462,492","127.50","128.00","126.50","127.50","-1.00","84",
"2018/11/13","113,585","14,299,880","126.00","126.50","125.00","126.00","-1.50","112",
"2018/11/14","143,740","18,195,220","126.00","127.50","125.50","127.00","+1.00","131",
"2018/11/15","175,218","22,024,574","127.50","127.50","125.00","125.50","-1.50","179",
"2018/11/16","77,755","9,810,640","126.50","126.50","125.50","126.50","+1.00","84",
"2018/11/19","110,255","14,076,140","126.50","128.50","126.50","128.00","+1.50","117",
"2018/11/20","74,665","9,562,285","127.00","129.00","127.00","128.00"," 0.00","84",
"2018/11/21","76,055","9,674,095","126.00","128.00","126.00","128.00"," 0.00","85",
"2018/11/22","101,067","12,951,576","127.00","129.00","127.00","128.00"," 0.00","100",
"2018/11/23","140,240","17,924,338","127.00","128.50","127.00","127.50","-0.50","136",
"2018/11/26","311,180","39,943,040","128.00","130.50","126.00","126.50","-1.00","233",
"2018/11/27","230,500","29,326,249","126.50","128.50","126.50","127.00","+0.50","195",
"2018/11/28","177,677","22,882,687","127.50","130.00","127.00","129.50","+2.50","180",
"2018/11/29","169,668","22,141,176","130.50","131.00","130.00","130.50","+1.00","170",
"2018/11/30","142,053","18,506,890","130.00","131.00","129.50","130.00","-0.50","138",
