"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2012/11/01","698,645","89,571,205","127.00","129.50","126.00","129.00","+2.00","450",
"2012/11/02","325,752","41,925,131","129.50","129.50","128.00","128.00","-1.00","292",
"2012/11/05","218,217","27,809,776","128.00","128.00","126.50","127.50","-0.50","221",
"2012/11/06","244,841","31,144,226","128.00","128.00","126.50","128.00","+0.50","193",
"2012/11/07","641,037","80,925,199","126.00","127.50","125.50","127.00","-1.00","429",
"2012/11/08","300,693","37,902,663","126.00","126.50","125.50","126.00","-1.00","282",
"2012/11/09","985,716","124,240,569","126.00","127.00","125.50","126.50","+0.50","208",
"2012/11/12","270,741","34,345,607","127.50","127.50","126.00","126.50"," 0.00","249",
"2012/11/13","336,911","42,539,197","126.50","127.00","126.00","126.50"," 0.00","288",
"2012/11/14","278,251","35,192,245","126.50","127.00","126.00","126.50"," 0.00","234",
"2012/11/15","144,138","18,252,026","126.50","127.00","126.00","127.00","+0.50","132",
"2012/11/16","617,700","77,855,048","126.50","126.50","125.50","126.00","-1.00","418",
"2012/11/19","320,008","40,558,511","126.00","127.50","126.00","127.00","+1.00","265",
"2012/11/20","156,121","19,854,804","127.50","127.50","126.50","127.00"," 0.00","143",
"2012/11/21","146,717","18,535,059","127.00","127.50","126.00","126.00","-1.00","116",
"2012/11/22","286,359","36,343,412","126.00","127.50","126.00","126.50","+0.50","210",
"2012/11/23","474,388","60,839,464","127.50","129.00","126.50","128.00","+1.50","286",
"2012/11/26","340,200","43,717,300","129.00","129.00","127.50","128.50","+0.50","221",
"2012/11/27","88,160","11,311,480","128.50","129.00","128.00","128.00","-0.50","100",
"2012/11/28","139,804","17,945,912","128.50","129.00","127.50","128.00"," 0.00","121",
"2012/11/29","213,235","27,415,692","129.00","129.00","128.00","129.00","+1.00","203",
"2012/11/30","278,803","35,898,087","129.00","129.00","128.50","128.50","-0.50","222",
