"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2014/02/05","721,436","118,983,248","164.00","166.50","163.00","166.50","-1.50","626",
"2014/02/06","319,435","53,524,292","165.00","169.00","164.50","168.00","+1.50","264",
"2014/02/07","311,058","52,352,244","168.00","169.00","167.50","168.00"," 0.00","320",
"2014/02/10","353,486","59,945,620","169.00","170.00","168.00","170.00","+2.00","269",
"2014/02/11","545,606","93,385,424","171.00","172.00","170.00","171.00","+1.00","473",
"2014/02/12","503,691","86,314,543","171.50","172.50","170.50","171.50","+0.50","421",
"2014/02/13","421,672","72,528,928","171.50","173.00","170.00","171.50"," 0.00","413",
"2014/02/14","408,910","70,377,520","172.00","173.00","171.00","171.00","-0.50","372",
"2014/02/17","322,503","55,326,513","170.00","172.50","170.00","172.00","+1.00","316",
"2014/02/18","489,387","84,807,250","171.50","174.00","171.00","173.50","+1.50","423",
"2014/02/19","372,081","64,906,175","173.50","175.00","173.00","175.00","+1.50","353",
"2014/02/20","622,893","107,823,775","175.00","175.00","172.00","173.00","-2.00","490",
"2014/02/21","329,188","57,038,115","173.00","174.00","172.50","173.50","+0.50","269",
"2014/02/24","665,359","116,196,325","173.00","176.00","172.50","175.00","+1.50","438",
"2014/02/25","734,620","127,292,945","176.00","176.00","171.50","171.50","-3.50","656",
"2014/02/26","674,498","116,384,156","173.00","174.00","171.50","171.50"," 0.00","582",
"2014/02/27","557,568","96,991,832","173.00","175.00","172.00","175.00","+3.50","437",
