"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2017/12/01","880,700","108,672,500","126.50","126.50","122.00","122.50","-4.00","599",
"2017/12/04","295,845","36,286,435","123.00","123.50","122.00","123.00","+0.50","202",
"2017/12/05","348,851","42,769,524","122.50","123.00","122.00","123.00"," 0.00","264",
"2017/12/06","501,296","60,600,460","123.00","123.00","120.00","120.50","-2.50","396",
"2017/12/07","596,734","71,663,945","121.00","122.00","119.00","119.00","-1.50","390",
"2017/12/08","332,816","39,926,736","120.00","121.00","119.00","121.00","+2.00","286",
"2017/12/11","391,030","47,384,690","120.50","122.00","120.00","121.50","+0.50","318",
"2017/12/12","265,899","32,331,178","122.50","123.00","120.50","122.00","+0.50","222",
"2017/12/13","244,161","29,687,642","122.00","122.50","121.00","122.50","+0.50","190",
"2017/12/14","612,560","75,957,710","123.00","125.00","122.50","124.50","+2.00","443",
"2017/12/15","347,381","43,148,625","125.00","125.00","123.50","125.00","+0.50","266",
"2017/12/18","381,957","47,778,125","125.50","126.00","124.50","125.00"," 0.00","308",
"2017/12/19","246,881","30,624,625","125.00","125.50","123.00","124.50","-0.50","173",
"2017/12/20","523,936","65,586,500","125.00","126.00","124.50","125.00","+0.50","333",
"2017/12/21","121,440","15,134,776","125.00","125.00","124.50","124.50","-0.50","124",
"2017/12/22","175,529","21,821,125","125.00","125.00","124.00","124.50"," 0.00","157",
"2017/12/25","228,853","28,573,125","124.50","125.50","124.50","125.00","+0.50","210",
"2017/12/26","191,051","23,745,344","125.00","125.00","123.50","123.50","-1.50","181",
"2017/12/27","791,953","99,704,543","124.00","127.00","124.00","126.50","+3.00","566",
"2017/12/28","427,243","54,055,233","127.00","127.00","126.00","126.50"," 0.00","358",
"2017/12/29","527,460","67,125,644","126.50","127.50","126.50","127.50","+1.00","466",
