"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2012/08/01","158,206","20,690,986","131.50","131.50","130.00","130.50","-1.00","132",
"2012/08/03","182,274","23,657,120","130.50","130.50","129.50","130.00","-0.50","148",
"2012/08/06","502,429","64,969,270","130.50","131.00","128.00","130.00"," 0.00","300",
"2012/08/07","379,469","48,778,470","129.50","130.00","128.00","128.50","-1.50","278",
"2012/08/08","704,231","89,776,180","128.50","128.50","127.00","127.00","-1.50","531",
"2012/08/09","822,807","105,746,309","127.00","130.00","127.00","130.00","+3.00","613",
"2012/08/10","531,618","68,641,340","130.00","130.00","128.00","128.50","-1.50","297",
"2012/08/13","497,217","63,780,097","129.00","129.00","128.00","128.50"," 0.00","252",
"2012/08/14","509,853","65,487,106","129.00","130.00","127.50","128.00","-0.50","364",
"2012/08/15","790,754","100,252,012","128.00","128.00","126.00","126.50","-1.50","591",
"2012/08/16","728,479","91,883,567","126.50","126.50","125.50","126.50"," 0.00","545",
"2012/08/17","516,844","65,389,106","126.50","127.50","126.00","126.50"," 0.00","391",
"2012/08/20","367,496","46,338,992","126.50","127.00","125.50","126.00","-0.50","224",
"2012/08/21","752,029","94,593,683","126.00","127.00","125.50","126.50","+0.50","505",
"2012/08/22","591,460","74,353,420","126.50","126.50","125.50","126.00","-0.50","356",
"2012/08/23","557,715","69,906,305","126.00","126.00","125.00","126.00"," 0.00","379",
"2012/08/24","276,687","34,777,249","126.00","126.00","125.00","126.00"," 0.00","202",
"2012/08/27","369,752","46,668,624","126.00","127.00","125.50","126.50","+0.50","305",
"2012/08/28","374,926","47,124,133","126.50","126.50","125.00","125.00","-1.50","350",
"2012/08/29","201,716","25,367,573","125.50","126.50","125.00","126.00","+1.00","173",
"2012/08/30","173,274","21,777,656","126.00","126.00","125.00","126.00"," 0.00","159",
"2012/08/31","159,051","19,992,926","126.00","126.00","125.50","125.50","-0.50","141",
