"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2017/04/05","3,361,929","375,159,477","109.50","113.00","109.00","113.00","+4.50","2,442",
"2017/04/06","1,796,420","202,638,960","112.50","113.50","112.00","113.50","+0.50","1,195",
"2017/04/07","1,449,545","161,753,495","114.00","114.00","110.00","111.00","-2.50","1,086",
"2017/04/10","1,143,014","125,988,540","112.00","112.00","109.00","109.50","-1.50","980",
"2017/04/11","1,470,995","159,702,455","108.00","109.50","107.00","108.50","-1.00","1,068",
"2017/04/12","1,181,940","127,411,080","108.50","109.00","107.00","107.50","-1.00","800",
"2017/04/13","775,175","83,289,725","107.50","108.00","107.00","107.00","-0.50","582",
"2017/04/14","815,077","86,473,111","106.50","107.00","105.50","105.50","-1.50","607",
"2017/04/17","1,814,615","186,796,345","106.00","106.00","101.50","103.00","-2.50","1,409",
"2017/04/18","1,085,553","112,663,781","104.50","105.00","103.00","104.50","+1.50","886",
"2017/04/19","1,253,040","128,976,586","103.00","104.00","102.00","102.50","-2.00","1,020",
"2017/04/20","2,056,259","209,117,539","102.00","103.00","100.50","101.50","-1.00","1,550",
"2017/04/21","1,118,210","114,662,725","102.00","103.50","101.50","103.50","+2.00","844",
"2017/04/24","812,749","83,477,767","104.00","104.50","102.00","102.50","-1.00","614",
"2017/04/25","1,565,668","161,577,800","103.50","104.50","102.00","104.50","+2.00","1,125",
"2017/04/26","4,304,550","432,906,950","102.50","102.50","99.50","100.50","-4.00","2,851",
"2017/04/27","2,813,761","286,454,383","100.00","103.50","100.00","103.50","+3.00","2,004",
"2017/04/28","2,004,488","204,833,776","102.50","103.00","102.00","102.00","-1.50","1,432",
