"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2016/08/01","8,045,254","593,704,321","73.60","74.80","73.20","74.20","+0.90","4,321",
"2016/08/02","3,596,514","267,623,990","73.60","74.80","73.60","74.50","+0.30","1,665",
"2016/08/03","3,545,583","262,159,642","73.80","74.50","73.60","73.90","-0.60","2,582",
"2016/08/04","4,304,165","316,332,766","74.20","74.20","73.30","73.30","-0.60","1,418",
"2016/08/05","3,237,858","238,931,195","73.60","74.00","73.60","73.90","+0.60","1,951",
"2016/08/08","3,268,685","243,885,168","74.40","75.10","74.00","75.10","+1.20","1,528",
"2016/08/09","5,765,908","431,097,900","75.40","75.50","74.30","74.80","-0.30","2,178",
"2016/08/10","6,161,787","462,087,867","74.80","75.80","74.60","75.80","+1.00","2,402",
"2016/08/11","6,315,835","474,570,485","76.40","76.40","74.50","75.20","-0.60","2,757",
"2016/08/12","8,911,315","672,131,908","75.80","75.80","74.90","75.80","+0.60","3,569",
"2016/08/15","6,996,136","518,685,416","75.60","75.60","73.60","73.90","-1.90","3,180",
"2016/08/16","5,770,036","427,124,358","74.00","74.20","73.80","74.10","+0.20","2,738",
"2016/08/17","3,658,429","273,196,357","74.10","75.30","73.80","75.20","+1.10","2,369",
"2016/08/18","4,928,414","367,845,663","75.00","75.00","74.40","74.80","-0.40","1,638",
"2016/08/19","4,308,997","321,489,515","74.80","75.10","73.90","74.80"," 0.00","1,730",
"2016/08/22","4,753,671","351,480,396","74.60","74.60","73.60","74.20","-0.60","2,077",
"2016/08/23","5,687,430","424,902,958","74.20","74.90","74.00","74.80","+0.60","2,720",
"2016/08/24","3,337,122","250,593,356","75.40","75.40","75.00","75.30","+0.50","2,001",
"2016/08/25","3,050,010","228,991,553","74.50","75.30","74.40","75.30"," 0.00","1,971",
"2016/08/26","2,891,569","216,238,044","75.50","75.60","74.60","74.70","-0.60","2,264",
"2016/08/29","2,319,966","173,419,343","75.00","75.10","74.50","75.00","+0.30","1,482",
"2016/08/30","3,531,764","263,536,473","75.00","75.00","74.40","74.80","-0.20","2,506",
"2016/08/31","5,645,308","418,935,971","75.00","75.00","73.90","73.90","-0.90","1,963",
