"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2017/05/02","4,094,300","308,380,600","74.60","75.90","74.20","75.00","+0.70","2,878",
"2017/05/03","3,643,764","274,767,654","75.10","75.80","74.80","75.80","+0.80","1,669",
"2017/05/04","4,613,639","351,835,785","75.80","76.80","75.30","76.50","+0.70","3,324",
"2017/05/05","4,590,359","351,770,881","76.50","76.80","76.10","76.60","+0.10","3,124",
"2017/05/08","6,467,393","494,770,716","76.30","76.90","76.00","76.40","-0.20","2,672",
"2017/05/09","5,352,342","407,918,592","76.00","76.50","75.90","76.00","-0.40","2,664",
"2017/05/10","7,271,525","559,716,761","76.50","77.10","76.30","77.00","+1.00","3,211",
"2017/05/11","8,182,787","626,626,812","77.00","77.10","76.00","76.00","-1.00","3,860",
"2017/05/12","7,545,990","573,411,140","76.00","76.20","75.70","76.10","+0.10","3,404",
"2017/05/15","5,994,638","460,165,002","76.50","77.00","76.30","76.50","+0.40","2,809",
"2017/05/16","7,639,643","581,427,568","76.50","76.50","75.80","76.20","-0.30","3,606",
"2017/05/17","6,588,276","500,940,776","76.00","76.50","75.80","76.00","-0.20","3,278",
"2017/05/18","5,495,487","420,345,951","76.00","76.80","76.00","76.50","+0.50","2,820",
"2017/05/19","5,141,230","393,264,685","76.20","76.90","76.10","76.20","-0.30","1,566",
"2017/05/22","5,696,311","432,388,785","76.00","76.50","75.70","76.00","-0.20","3,060",
"2017/05/23","4,007,352","303,229,352","75.60","75.80","75.50","75.80","-0.20","2,224",
"2017/05/24","3,238,931","246,997,217","75.80","76.70","75.70","76.20","+0.40","1,388",
"2017/05/25","3,677,071","281,290,529","75.80","77.00","75.80","76.10","-0.10","2,328",
"2017/05/26","3,122,445","238,305,820","76.20","76.90","76.00","76.00","-0.10","1,713",
"2017/05/31","6,118,976","470,688,661","76.70","77.80","76.30","76.50","+0.50","2,681",
