"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2011/12/01","11,605,842","675,804,412","58.20","58.40","57.50","58.20","+1.20","4,546",
"2011/12/02","6,676,987","393,715,023","58.20","59.30","58.20","59.20","+1.00","2,592",
"2011/12/05","4,631,514","271,672,623","59.50","59.50","57.60","59.20"," 0.00","2,454",
"2011/12/06","3,262,713","190,644,802","59.20","59.20","58.00","58.00","-1.20","1,948",
"2011/12/07","5,853,305","344,537,663","58.30","59.30","58.30","58.90","+0.90","2,548",
"2011/12/08","4,084,233","240,964,183","59.20","59.50","58.10","59.50","+0.60","1,729",
"2011/12/09","6,467,228","387,215,588","59.30","60.50","58.60","59.50"," 0.00","2,746",
"2011/12/12","3,666,198","216,781,313","59.50","59.90","58.80","58.80","-0.70","1,564",
"2011/12/13","3,102,316","182,512,610","58.00","59.40","58.00","59.00","+0.20","1,437",
"2011/12/14","2,863,069","169,671,431","59.70","59.70","58.60","58.80","-0.20","1,520",
"2011/12/15","4,207,101","246,894,013","58.80","59.20","58.20","58.60","-0.20","1,984",
"2011/12/16","3,055,284","178,560,196","58.20","58.80","58.10","58.10","-0.50","1,611",
"2011/12/19","12,794,073","705,761,615","57.20","58.00","54.10","54.80","-3.30","5,412",
"2011/12/20","9,642,588","530,698,140","55.50","55.90","54.20","54.30","-0.50","3,823",
"2011/12/21","7,691,850","428,883,932","56.40","56.50","55.30","55.90","+1.60","3,306",
"2011/12/22","6,442,742","365,124,951","55.50","58.00","55.20","57.40","+1.50","2,894",
"2011/12/23","5,946,653","338,881,981","58.00","58.00","56.50","57.00","-0.40","2,717",
"2011/12/26","2,414,105","136,502,731","57.00","57.20","55.80","56.50","-0.50","1,075",
"2011/12/27","3,208,978","180,929,850","56.50","57.00","55.90","56.70","+0.20","1,657",
"2011/12/28","5,037,067","284,766,103","56.50","57.00","56.30","57.00","+0.30","1,646",
"2011/12/29","12,450,347","702,700,078","56.90","57.20","55.50","57.20","+0.20","3,526",
"2011/12/30","7,828,004","443,807,128","57.00","57.30","56.20","56.90","-0.30","1,681",
