"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2012/03/01","12,095,526","730,717,919","61.70","61.70","59.80","60.00","-1.70","4,188",
"2012/03/02","15,028,367","896,667,067","60.00","60.50","59.20","60.50","+0.50","4,140",
"2012/03/03","5,951,391","354,389,707","60.10","60.40","59.30","59.30","-1.20","3,074",
"2012/03/05","8,020,860","473,994,463","59.30","59.90","58.90","59.00","-0.30","2,469",
"2012/03/06","6,647,993","389,981,287","59.50","59.50","58.30","58.50","-0.50","3,213",
"2012/03/07","8,847,077","517,816,771","58.40","59.00","58.30","58.60","+0.10","3,104",
"2012/03/08","16,072,553","948,189,078","59.10","60.00","58.50","59.80","+1.20","4,862",
"2012/03/09","9,269,143","552,754,403","60.40","60.40","59.30","59.50","-0.30","2,797",
"2012/03/12","3,517,560","207,301,694","59.50","59.50","58.60","58.70","-0.80","1,696",
"2012/03/13","3,754,750","219,788,117","59.40","59.50","58.10","58.50","-0.20","1,939",
"2012/03/14","10,106,428","596,881,060","59.40","59.50","58.80","59.50","+1.00","4,028",
"2012/03/15","3,818,490","225,085,848","59.10","59.70","58.70","59.00","-0.50","1,732",
"2012/03/16","9,583,630","561,313,773","59.00","59.40","58.30","58.30","-0.70","3,152",
"2012/03/19","5,477,720","320,081,142","59.00","59.00","58.10","58.10","-0.20","2,735",
"2012/03/20","6,811,092","392,716,385","58.10","58.40","57.30","57.30","-0.80","2,824",
"2012/03/21","9,448,308","556,373,530","58.30","59.50","57.60","59.20","+1.90","4,243",
"2012/03/22","14,698,109","880,868,973","59.60","60.60","59.20","60.60","+1.40","5,364",
"2012/03/23","7,467,740","440,332,760","60.00","60.00","58.50","59.00","-1.60","3,126",
"2012/03/26","4,983,796","294,268,938","59.00","60.00","58.30","59.60","+0.60","2,529",
"2012/03/27","4,079,924","241,610,316","59.90","59.90","58.90","59.00","-0.60","1,552",
"2012/03/28","4,412,913","262,495,720","59.50","59.70","59.20","59.50","+0.50","1,865",
"2012/03/29","6,332,032","371,460,867","59.00","59.40","58.30","58.50","-1.00","2,783",
"2012/03/30","6,275,778","375,513,232","58.70","60.50","58.20","60.50","+2.00","2,811",
