"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2014/09/01","13,326,523","825,610,667","62.70","63.40","61.50","61.50","-2.20","6,415",
"2014/09/02","11,622,931","701,646,606","61.50","61.50","59.80","60.00","-1.50","5,902",
"2014/09/03","7,497,660","452,302,660","60.30","60.80","60.10","60.80","+0.80","3,247",
"2014/09/04","5,386,120","324,508,965","60.70","60.80","60.00","60.20","-0.60","1,980",
"2014/09/05","2,250,790","135,760,328","60.30","60.60","60.10","60.40","+0.20","1,274",
"2014/09/09","3,989,132","240,369,483","60.10","61.00","60.00","60.20","-0.20","1,619",
"2014/09/10","8,806,607","520,368,042","59.90","60.00","58.70","59.00","-1.20","4,820",
"2014/09/11","7,154,062","421,048,558","59.00","59.40","58.60","58.80","-0.20","3,354",
"2014/09/12","5,700,071","331,812,018","58.60","58.60","58.00","58.20","-0.60","2,849",
"2014/09/15","8,264,947","474,058,334","58.00","58.00","57.00","57.10","-1.10","3,846",
"2014/09/16","4,155,335","238,839,753","57.10","57.80","57.00","57.40","+0.30","2,197",
"2014/09/17","3,524,617","204,602,901","57.90","58.40","57.50","58.00","+0.60","2,095",
"2014/09/18","3,275,618","191,825,287","58.30","58.80","58.10","58.80","+0.80","1,701",
"2014/09/19","4,578,556","267,356,698","59.10","59.10","58.00","58.00","-0.80","1,680",
"2014/09/22","3,009,717","173,982,641","58.10","58.10","57.50","58.10","+0.10","1,623",
"2014/09/23","2,034,300","118,362,121","58.10","58.40","57.80","58.30","+0.20","1,046",
"2014/09/24","6,685,949","397,432,542","58.50","59.80","58.40","59.70","+1.40","2,686",
"2014/09/25","3,336,766","197,830,808","60.00","60.00","58.90","59.30","-0.40","1,863",
"2014/09/26","2,663,160","156,401,768","58.90","59.10","58.00","59.00","-0.30","1,642",
"2014/09/29","7,319,554","427,110,044","59.50","59.50","58.00","58.10","-0.90","3,285",
"2014/09/30","5,570,703","322,974,725","58.20","58.40","57.30","58.30","+0.20","2,954",
