"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2011/09/01","3,111,425","155,502,521","50.50","50.70","49.10","49.30","-0.60","1,541",
"2011/09/02","1,559,210","77,460,584","49.30","50.40","49.00","50.40","+1.10","964",
"2011/09/05","1,527,667","75,677,773","49.50","49.90","49.10","49.55","-0.85","1,035",
"2011/09/06","2,203,411","106,393,973","49.20","49.25","47.30","47.30","-2.25","1,370",
"2011/09/07","1,121,451","54,473,330","48.25","48.90","48.15","48.90","+1.60","781",
"2011/09/08","1,341,032","65,744,168","49.80","49.80","48.50","49.10","+0.20","1,025",
"2011/09/09","1,045,712","51,319,238","49.00","49.55","48.70","49.05","-0.05","745",
"2011/09/13","1,174,976","56,584,493","49.05","49.05","47.50","47.70","-1.35","834",
"2011/09/14","1,429,082","68,335,424","48.65","49.00","47.20","47.30","-0.40","940",
"2011/09/15","1,915,586","94,313,215","48.60","49.70","48.30","49.35","+2.05","1,162",
"2011/09/16","2,629,634","132,368,508","50.00","51.00","49.85","51.00","+1.65","1,392",
"2011/09/19","1,559,436","78,838,545","51.00","51.00","49.90","50.00","-1.00","956",
"2011/09/20","2,465,094","125,563,421","50.00","51.70","49.90","51.70","+1.70","1,514",
"2011/09/21","2,133,104","109,919,536","51.40","51.90","51.00","51.70"," 0.00","1,140",
"2011/09/22","1,718,773","86,880,050","50.60","51.20","50.00","50.00","-1.70","1,210",
"2011/09/23","2,381,813","113,828,157","48.00","48.60","47.20","47.40","-2.60","1,229",
"2011/09/26","1,789,497","83,890,598","46.50","47.80","46.00","46.40","-1.00","997",
"2011/09/27","1,572,579","75,925,914","48.20","48.90","47.75","48.45","+2.05","1,053",
"2011/09/28","1,579,849","77,566,106","49.20","49.45","48.55","49.45","+1.00","929",
"2011/09/29","1,909,737","95,390,400","48.85","50.50","48.75","50.30","+0.85","1,153",
"2011/09/30","2,198,219","110,885,452","51.00","51.10","50.00","50.20","-0.10","1,551",
