"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2015/11/02","1,783,533","141,550,614","77.60","80.10","77.60","79.40","+1.80","1,398",
"2015/11/03","1,097,712","87,553,753","80.00","80.30","79.40","79.70","+0.30","783",
"2015/11/04","2,382,918","190,342,040","80.80","80.80","78.60","79.90","+0.20","1,593",
"2015/11/05","1,100,194","87,720,620","79.90","80.10","79.10","79.90"," 0.00","708",
"2015/11/06","1,831,463","142,758,514","79.30","79.80","77.50","77.60","-2.30","1,320",
"2015/11/09","1,172,836","89,920,351","77.50","77.60","76.20","76.20","-1.40","922",
"2015/11/10","1,832,302","139,653,238","76.20","77.20","75.50","76.00","-0.20","1,328",
"2015/11/11","1,828,244","138,111,444","76.20","77.00","75.10","75.30","-0.70","1,569",
"2015/11/12","1,449,964","107,423,400","75.20","75.30","73.00","73.90","-1.40","1,144",
"2015/11/13","1,832,293","131,807,596","73.50","73.70","71.00","71.30","-2.60","1,284",
"2015/11/16","2,442,023","168,106,810","68.90","70.40","68.50","69.50","-1.80","1,857",
"2015/11/17","1,694,432","120,408,473","70.00","72.20","69.90","72.20","+2.70","1,232",
"2015/11/18","1,477,857","104,274,904","71.90","71.90","70.00","70.00","-2.20","1,200",
"2015/11/19","1,546,890","110,012,165","70.50","72.00","70.30","72.00","+2.00","1,297",
"2015/11/20","1,768,105","128,553,170","71.40","73.90","70.80","73.70","+1.70","1,464",
"2015/11/23","1,483,815","109,730,169","73.00","75.20","73.00","74.20","+0.50","1,218",
"2015/11/24","1,783,133","132,514,957","74.00","75.30","73.70","74.00","-0.20","1,486",
"2015/11/25","2,418,420","182,333,510","75.00","77.00","74.30","77.00","+3.00","1,871",
"2015/11/26","2,047,493","156,651,861","76.90","77.20","74.80","77.00"," 0.00","1,677",
"2015/11/27","1,115,773","85,402,211","77.00","77.10","75.80","77.00"," 0.00","783",
"2015/11/30","6,959,671","529,725,781","74.70","78.20","73.60","75.30","-1.70","2,318",
