"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2012/05/02","3,367,671","195,689,778","57.60","59.20","57.50","57.70","+0.70","2,090",
"2012/05/03","1,209,924","69,947,106","58.10","58.20","57.30","57.40","-0.30","823",
"2012/05/04","3,000,364","171,397,448","57.20","57.70","56.70","56.90","-0.50","1,546",
"2012/05/07","2,516,774","143,030,947","56.50","57.50","56.20","57.30","+0.40","1,420",
"2012/05/08","1,794,007","102,776,796","57.60","57.70","57.00","57.20","-0.10","967",
"2012/05/09","2,111,280","119,795,065","56.80","57.00","56.60","56.70","-0.50","993",
"2012/05/10","1,028,685","58,135,435","56.70","57.00","56.30","56.70"," 0.00","692",
"2012/05/11","933,019","52,427,173","56.70","56.70","55.90","56.30","-0.40","705",
"2012/05/14","1,121,459","62,211,831","56.10","56.20","55.20","55.20","-1.10","804",
"2012/05/15","1,285,319","71,798,717","55.10","56.90","54.60","56.60","+1.40","761",
"2012/05/16","1,367,594","76,496,444","56.60","56.60","55.60","55.70","-0.90","1,061",
"2012/05/17","1,873,405","105,224,316","56.60","56.60","55.80","56.10","+0.40","938",
"2012/05/18","2,342,820","129,518,858","55.00","56.00","54.90","55.20","-0.90","1,099",
"2012/05/21","1,067,261","59,492,835","55.90","56.20","55.20","55.70","+0.50","494",
"2012/05/22","814,400","46,051,138","56.80","56.80","56.10","56.60","+0.90","472",
"2012/05/23","620,617","34,788,309","56.50","56.50","55.80","56.10","-0.50","479",
"2012/05/24","733,765","40,725,478","56.00","56.40","55.00","55.40","-0.70","456",
"2012/05/25","745,255","41,218,295","55.40","55.50","55.00","55.30","-0.10","447",
"2012/05/28","525,875","28,969,099","55.00","55.50","54.60","55.30"," 0.00","407",
"2012/05/29","1,254,555","70,401,185","55.30","56.70","55.10","56.20","+0.90","783",
"2012/05/30","1,247,747","69,889,030","56.20","56.40","55.70","55.90","-0.30","914",
"2012/05/31","1,416,511","79,185,813","55.50","56.70","54.90","56.70","+0.80","807",
