"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2016/10/03","1,178,908","93,874,532","79.40","79.90","79.20","79.40","+0.10","891",
"2016/10/04","1,179,548","93,802,834","79.70","79.80","79.00","79.50","+0.10","935",
"2016/10/05","538,529","42,732,791","79.40","79.50","79.20","79.30","-0.20","454",
"2016/10/06","826,932","65,636,128","79.30","79.60","79.20","79.30"," 0.00","667",
"2016/10/07","1,233,316","97,485,893","79.00","80.00","78.50","79.00","-0.30","1,009",
"2016/10/11","1,379,409","109,376,660","79.90","79.90","78.40","78.70","-0.30","1,089",
"2016/10/12","911,691","72,672,821","79.00","80.00","79.00","79.70","+1.00","647",
"2016/10/13","737,793","58,884,338","79.40","80.20","79.20","79.90","+0.20","597",
"2016/10/14","519,088","41,022,179","79.60","79.80","78.60","78.60","-1.30","410",
"2016/10/17","600,579","47,510,392","78.60","79.70","78.10","79.60","+1.00","483",
"2016/10/18","1,065,734","85,162,592","79.50","80.10","79.40","80.10","+0.50","740",
"2016/10/19","599,380","48,124,457","80.10","80.60","79.70","80.20","+0.10","499",
"2016/10/20","822,491","66,018,177","80.20","80.50","79.90","80.10","-0.10","683",
"2016/10/21","1,020,584","80,393,511","79.50","79.90","78.00","78.80","-1.30","774",
"2016/10/24","1,291,685","103,636,430","79.00","81.20","78.90","80.70","+1.90","968",
"2016/10/25","1,278,490","103,321,128","81.20","81.30","80.00","81.00","+0.30","1,181",
"2016/10/26","1,286,475","102,330,625","80.80","80.80","79.00","79.00","-2.00","1,012",
"2016/10/27","1,084,390","84,736,511","78.50","78.90","77.50","78.00","-1.00","808",
"2016/10/28","530,321","41,917,583","78.00","79.40","77.80","79.40","+1.40","439",
"2016/10/31","1,395,455","111,876,928","79.30","80.90","78.60","80.80","+1.40","1,147",
